iter	Passed	Remaining
414	978	200
415	980	198
416	982	195
417	985	193
418	987	190
419	989	188
420	991	186
421	994	183
422	996	181
423	998	178
424	1000	176
425	1002	174
426	1004	171
427	1006	169
428	1008	166
429	1011	164
430	1013	162
431	1015	159
432	1017	157
433	1019	155
434	1022	152
435	1024	150
436	1026	147
437	1028	145
438	1030	143
439	1033	140
440	1035	138
441	1037	136
442	1039	133
443	1041	131
444	1044	129
445	1046	126
446	1048	124
447	1050	121
448	1052	119
449	1054	117
450	1057	114
451	1059	112
452	1061	110
453	1063	107
454	1065	105
455	1067	103
456	1070	100
457	1072	98
458	1074	96
459	1077	93
460	1079	91
461	1081	88
462	1083	86
463	1086	84
464	1088	81
465	1090	79
466	1092	77
467	1095	74
468	1097	72
469	1099	70
470	1101	67
471	1103	65
472	1106	63
473	1108	60
474	1110	58
475	1112	56
476	1114	53
477	1116	51
478	1119	49
479	1122	46
480	1124	44
481	1126	42
482	1128	39
483	1130	37
484	1132	35
485	1135	32
486	1137	30
487	1139	28
488	1141	25
489	1143	23
490	1146	21
491	1148	18
492	1150	16
493	1152	14
494	1154	11
495	1157	9
496	1159	6
497	1161	4
498	1163	2
499	1165	0
