iter	MultiClass
116	0.3871365314
117	0.3863573983
118	0.3843601292
119	0.3828871352
120	0.3821229999
121	0.3800734862
122	0.3772183785
123	0.3753352828
124	0.3744395933
125	0.3714768992
126	0.3687524803
127	0.3678313943
128	0.3657780544
129	0.3645115005
130	0.3609677682
131	0.3575128204
132	0.3553452499
133	0.3542167123
134	0.3531125442
135	0.3515689413
136	0.3485334468
137	0.3473698117
138	0.3468811028
139	0.3460241843
140	0.3441135125
141	0.341067201
142	0.3392556649
143	0.3377508483
144	0.3365634187
145	0.3350992513
146	0.333570171
147	0.3318207681
148	0.3304194176
149	0.3279886379
150	0.3242417357
151	0.3233372031
152	0.3200136027
153	0.3186191452
154	0.3165645211
155	0.315243785
156	0.3121788756
157	0.3109209945
158	0.3094290825
159	0.308385713
160	0.3079542975
161	0.3058344125
162	0.3038118963
163	0.3027988499
164	0.3006802515
165	0.2983676432
166	0.2971386405
167	0.2963545539
168	0.2944470012
169	0.2934630752
170	0.2927043269
171	0.2912999158
172	0.2896254216
173	0.2886710284
174	0.2873011948
175	0.2860315221
176	0.2842921522
177	0.2832644159
178	0.2814284033
179	0.2797176723
180	0.2789876774
181	0.2786070959
182	0.2774089226
183	0.2765859077
184	0.2757330902
185	0.274176938
186	0.2733381231
187	0.2726280759
188	0.2720625859
189	0.27157074
190	0.270289349
191	0.2695472442
192	0.2678574652
193	0.2654933499
194	0.2651321332
195	0.2647348712
196	0.2629329461
197	0.2620187823
198	0.2614176566
199	0.2598042291
200	0.2590344325
201	0.2571046135
202	0.2559719492
203	0.254743884
204	0.2543213571
205	0.2531717885
206	0.2519588601
207	0.2504609323
208	0.2485994318
209	0.2473293567
210	0.2469085369
211	0.2460010976
212	0.2454051257
213	0.2445280296
214	0.243943171
215	0.2425859238
216	0.2415953357
217	0.2406677223
218	0.2402335882
219	0.2395650911
220	0.2384945809
221	0.2361298341
222	0.2353895283
223	0.2343268066
224	0.2339005855
225	0.2334470738
226	0.2324849076
227	0.231095127
228	0.2293285728
229	0.2276009811
230	0.2262324288
231	0.2255196567
232	0.2246772101
233	0.2236779697
234	0.2225323467
235	0.2218168299
236	0.2204511645
237	0.2194302124
238	0.2186352856
239	0.2180429343
240	0.21730514
241	0.2165084838
242	0.2151769846
243	0.2140072645
244	0.2134694167
245	0.2128411355
246	0.2121171564
247	0.2106401598
248	0.2091586741
249	0.2085408955
250	0.2077590176
251	0.2074015318
252	0.206965051
253	0.2059375143
254	0.2050416399
255	0.2036397582
256	0.2029677815
257	0.2020115838
258	0.2012569971
259	0.2006460466
260	0.2000701867
261	0.1985798397
262	0.1980721863
263	0.1977196745
264	0.1967017158
265	0.1959466901
266	0.1949855772
267	0.1938266947
268	0.1932706099
269	0.1926440915
270	0.1917248456
271	0.1908746004
272	0.1903134433
273	0.1899709438
274	0.1893925419
275	0.1886202344
276	0.1877149247
277	0.1872117484
278	0.1868631334
279	0.1862091479
280	0.185125137
281	0.1841201838
282	0.1836098993
283	0.1829422292
284	0.1817675069
285	0.1812206187
286	0.1810419087
287	0.180228843
288	0.1795959755
289	0.1789526515
290	0.1785755508
291	0.1779208785
292	0.1772358847
293	0.1769756958
294	0.1761936515
295	0.1757237801
296	0.1749005788
297	0.1738859777
298	0.1733335397
299	0.1727569927
300	0.1717075837
301	0.1712159072
302	0.1704470043
303	0.1699269083
304	0.1694476471
305	0.1685945095
306	0.1678977257
307	0.1675437033
308	0.167114969
309	0.1662269925
310	0.1652649629
311	0.1646084341
312	0.1638973163
313	0.163222033
314	0.1629690945
315	0.1624904343
316	0.1618784034
317	0.1614894548
318	0.1608059606
319	0.1601572065
320	0.1591900821
321	0.158369581
322	0.1578797359
323	0.1577176904
324	0.1570863678
325	0.1563721972
326	0.1556667956
327	0.1550216896
328	0.1546101426
329	0.1537932216
330	0.1533359574
331	0.1529541691
332	0.1524086256
333	0.1520420787
334	0.1513764599
335	0.1505210756
336	0.149711613
337	0.1491506033
338	0.1489190216
339	0.1484513799
340	0.1477265489
341	0.1475026342
342	0.1469987006
343	0.1463750067
344	0.1457117273
345	0.1450110889
346	0.1444186207
347	0.1439540745
348	0.143596536
349	0.1432740547
350	0.1428224277
351	0.1423445978
352	0.1415309109
353	0.1408274431
354	0.1406205477
355	0.1401405998
356	0.1396292955
357	0.1392340724
358	0.1386810071
359	0.1381843466
360	0.1377602409
361	0.1371606497
362	0.136741976
363	0.1364069302
364	0.1360083202
365	0.1354629032
366	0.1351091892
367	0.1348072162
368	0.1343138372
369	0.1339908924
370	0.1330440482
371	0.1325123249
372	0.1320276291
373	0.1315567203
374	0.131064332
375	0.1307919638
376	0.1303176783
377	0.1302342646
378	0.1298743774
379	0.1294631086
380	0.1289126262
381	0.128366611
382	0.1281313836
383	0.1279301889
384	0.1276061526
385	0.1274273568
386	0.1269812864
387	0.1264543663
388	0.1259705723
389	0.1256556457
390	0.125308417
391	0.1248403319
392	0.1241054825
393	0.1238587117
394	0.123476572
395	0.1231288541
396	0.1229255359
397	0.1223935934
398	0.1222295312
399	0.121980196
400	0.1213339041
401	0.121085945
402	0.1203924441
403	0.1198976496
404	0.1192685357
405	0.118981118
406	0.1187236244
407	0.1182454874
408	0.1178175872
409	0.1172827902
410	0.1168895753
411	0.1165900537
412	0.1161307021
413	0.1155877929
414	0.115301294
415	0.1149074115
416	0.1145000344
417	0.1144298651
418	0.1142490743
419	0.1137947639
420	0.1132376227
421	0.1128686112
422	0.1121579556
423	0.1116847916
424	0.1110806161
425	0.1107094414
426	0.1104301143
427	0.1100389851
428	0.1096653719
429	0.1091541592
430	0.1087139509
431	0.1083052452
432	0.1080740692
433	0.1076039083
434	0.1072505945
435	0.1068482041
436	0.1066882443
437	0.1065951465
438	0.1060132801
439	0.1058054048
440	0.1053218939
441	0.1051109556
442	0.1047622413
443	0.1043895882
444	0.10417547
445	0.1038925086
446	0.1036875313
447	0.1035178966
448	0.1033538074
449	0.1029499234
450	0.1025934351
451	0.1024212275
452	0.1021699898
453	0.1019300947
454	0.1014950397
455	0.1014090666
456	0.1013283327
457	0.1010124941
458	0.1006070033
459	0.1003151497
460	0.1001361409
461	0.09982984585
462	0.09942395288
463	0.09894852124
464	0.09876813867
465	0.0984142593
466	0.09811335452
467	0.09774533725
468	0.09763664873
469	0.09749491969
470	0.09703849557
471	0.09665075176
472	0.09630618901
473	0.09619590731
474	0.09592104402
475	0.09567651631
476	0.09541863309
477	0.09512604149
478	0.09480972174
479	0.09469489067
480	0.09427376474
481	0.093997782
482	0.09377311181
483	0.0934312831
484	0.09329682921
485	0.09287860452
486	0.09255301111
487	0.09243074155
488	0.09236760126
489	0.09231031658
490	0.09195604779
491	0.09183601444
492	0.09159072934
493	0.09108509253
494	0.09074441602
495	0.09061810282
496	0.09042347033
497	0.09022132368
498	0.09007449885
499	0.08985715317
